tier,species_key,scientific_name,common_names,current_toxicity,lethal_pairs,confusable_with,diagnostic_characters,REVIEW_name_current,REVIEW_toxicity_agreed,REVIEW_characters_agreed,REVIEW_lookalikes_agreed,REVIEW_notes,REVIEWER,REVIEW_DATE
1,inocybe-erubescens,Inocybe erubescens,Deadly Fibrecap,DEADLY,2,Agaricus campestris; Calocybe gambosa,bruising_reaction; cap_surface; spore_print_colour; smell,,,,,,,
1,lepiota-castanea,Lepiota castanea,Chestnut Dapperling,DEADLY,1,Lepiota cristata,size; cap_surface; spore_print_colour; ring; habitat,,,,,,,
1,paxillus-involutus,Paxillus involutus,Brown Roll-rim,SERIOUS,1,Clitocybe rivulosa,cap_margin; bruising_reaction; gill_attachment; spore_print_colour,,,,,,,
1,tricholoma-equestre,Tricholoma equestre,Yellow Knight; Man on Horseback,SERIOUS,1,Amanita phalloides,volva; ring; gill_colour; habitat,,,,,,,
1,entoloma-sinuatum,Entoloma sinuatum,Livid Pinkgill; Livid Entoloma,SERIOUS,0,,spore_print_colour; gill_attachment; smell,,,,,,,
1,rubroboletus-satanas,Rubroboletus satanas,Devil's Bolete,SERIOUS,0,,pore_colour; bruising_reaction; stipe_surface,,,,,,,
2,agaricus-campestris,Agaricus campestris,Field Mushroom,NONE_RECORDED,4,Amanita phalloides; Amanita virosa; Inocybe erubescens; Lepiota brunneoincarnata,gill_colour; spore_print_colour; volva; bruising_reaction,,,,,,,
2,calocybe-gambosa,Calocybe gambosa,St George's Mushroom,NONE_RECORDED,4,Amanita virosa; Clitocybe dealbata; Clitocybe rivulosa; Inocybe erubescens,smell; spore_print_colour; season; gill_attachment,,,,,,,
2,marasmius-oreades,Marasmius oreades,Fairy Ring Champignon,NONE_RECORDED,4,Clitocybe dealbata; Clitocybe rivulosa; Lepiota brunneoincarnata; Lepiota subincarnata,gill_attachment; gill_spacing; stipe_texture; spore_print_colour,,,,,,,
2,lepiota-cristata,Lepiota cristata,Stinking Dapperling,TOXIC,3,Lepiota brunneoincarnata; Lepiota castanea; Lepiota subincarnata,size; cap_surface; smell; spore_print_colour; ring,,,,,,,
2,macrolepiota-procera,Macrolepiota procera,Parasol Mushroom,NONE_RECORDED,3,Amanita phalloides; Lepiota brunneoincarnata; Lepiota subincarnata,stipe_surface; ring; bruising_reaction; spore_print_colour,,,,,,,
2,agaricus-arvensis,Agaricus arvensis,Horse Mushroom,NONE_RECORDED,2,Amanita phalloides; Amanita virosa,smell; bruising_reaction; ring; volva,,,,,,,
2,amanita-muscaria,Amanita muscaria,Fly Agaric,TOXIC,2,Amanita phalloides; Amanita virosa,cap_colour; volva; ring; cap_surface,,,,,,,
2,amanita-rubescens,Amanita rubescens,The Blusher,TOXIC,2,Amanita phalloides; Amanita virosa,bruising_reaction; volva; ring; cap_surface,,,,,,,
2,armillaria-mellea,Armillaria mellea,Honey Fungus,TOXIC,2,Cortinarius rubellus; Galerina marginata,spore_print_colour; ring; cap_surface; substrate,,,,,,,
2,volvopluteus-gloiocephalus,Volvopluteus gloiocephalus,Stubble Rosegill,TOXIC,2,Amanita phalloides; Amanita virosa,volva; ring; spore_print_colour; gill_colour,,,,,,,
2,cantharellus-cibarius,Cantharellus cibarius,Chanterelle; Girolle,NONE_RECORDED,1,Cortinarius rubellus,gill_type; smell; flesh_colour,,,,,,,
2,chlorophyllum-brunneum,Chlorophyllum brunneum,Shaggy Parasol,TOXIC,1,Lepiota brunneoincarnata,bruising_reaction; stipe_surface; stipe_base,,,,,,,
2,clitopilus-prunulus,Clitopilus prunulus,The Miller,NONE_RECORDED,1,Clitocybe rivulosa,gill_attachment; spore_print_colour; smell; cap_surface,,,,,,,
2,cortinarius-violaceus,Cortinarius violaceus,Violet Webcap,NONE_RECORDED,1,Cortinarius rubellus,cortina; spore_print_colour; cap_surface,,,,,,,
2,hypholoma-fasciculare,Hypholoma fasciculare,Sulphur Tuft,TOXIC,1,Galerina marginata,gill_colour; taste; spore_print_colour; substrate,,,,,,,
2,kuehneromyces-mutabilis,Kuehneromyces mutabilis,Sheathed Woodtuft,NONE_RECORDED,1,Galerina marginata,stipe_surface; spore_print_colour; cap_surface; substrate,,,,,,,
2,lactarius-deliciosus,Lactarius deliciosus,Saffron Milkcap,NONE_RECORDED,1,Cortinarius rubellus,latex_colour; bruising_reaction; cap_surface,,,,,,,
2,lycoperdon-perlatum,Lycoperdon perlatum,Common Puffball,NONE_RECORDED,1,Amanita virosa,interior_structure; skin_thickness,,,,,,,
2,morchella-esculenta,Morchella esculenta,Morel,NONE_RECORDED,1,Gyromitra esculenta,cap_surface; interior_structure; season,,,,,,,
2,pholiota-squarrosa,Pholiota squarrosa,Shaggy Scalycap,TOXIC,1,Galerina marginata,cap_surface; spore_print_colour; substrate,,,,,,,
2,russula-cyanoxantha,Russula cyanoxantha,Charcoal Burner,NONE_RECORDED,1,Amanita phalloides,gill_texture; stipe_texture; volva; taste,,,,,,,
2,verpa-bohemica,Verpa bohemica,Early Morel; Thimble Morel,TOXIC,1,Gyromitra esculenta,cap_attachment; interior_structure; season,,,,,,,
3,agaricus-xanthodermus,Agaricus xanthodermus,Yellow Stainer,TOXIC,0,,bruising_reaction; smell; stipe_base,,,,,,,
3,auricularia-auricula-judae,Auricularia auricula-judae,Jelly Ear; Wood Ear,NONE_RECORDED,0,,texture; substrate; growth_form,,,,,,,
3,boletus-edulis,Boletus edulis,Penny Bun; Cep; Porcini,NONE_RECORDED,0,,pore_colour; bruising_reaction; stipe_surface; taste,,,,,,,
3,calvatia-gigantea,Calvatia gigantea,Giant Puffball,NONE_RECORDED,0,,interior_structure; skin_thickness,,,,,,,
3,coprinopsis-atramentaria,Coprinopsis atramentaria,Common Inkcap,TOXIC,0,,cap_surface; cap_shape,,,,,,,
3,coprinus-comatus,Coprinus comatus,Shaggy Inkcap; Lawyer's Wig,NONE_RECORDED,0,,cap_surface; cap_shape; deliquescence,,,,,,,
3,craterellus-cornucopioides,Craterellus cornucopioides,Horn of Plenty; Black Trumpet,NONE_RECORDED,0,,growth_form; hymenium_type; flesh_colour,,,,,,,
3,crepidotus-mollis,Crepidotus mollis,Peeling Oysterling,NONE_RECORDED,0,,spore_print_colour; size; texture,,,,,,,
3,fistulina-hepatica,Fistulina hepatica,Beefsteak Fungus,NONE_RECORDED,0,,flesh_colour; substrate; growth_form,,,,,,,
3,hydnum-repandum,Hydnum repandum,Hedgehog Fungus; Wood Hedgehog,NONE_RECORDED,0,,hymenium_type,,,,,,,
3,hygrophoropsis-aurantiaca,Hygrophoropsis aurantiaca,False Chanterelle,TOXIC,0,,gill_type; flesh_colour; smell,,,,,,,
3,lactarius-torminosus,Lactarius torminosus,Woolly Milkcap,TOXIC,0,,latex_colour; cap_margin; taste,,,,,,,
3,laetiporus-sulphureus,Laetiporus sulphureus,Chicken of the Woods,TOXIC,0,,pore_colour; substrate; growth_form,,,,,,,
3,leccinum-scabrum,Leccinum scabrum,Brown Birch Bolete,NONE_RECORDED,0,,stipe_surface; pore_colour; habitat,,,,,,,
3,lepista-nuda,Lepista nuda,Wood Blewit,TOXIC,0,,spore_print_colour; cortina; smell,,,,,,,
3,omphalotus-olearius,Omphalotus olearius,Jack-o'-Lantern,TOXIC,0,,gill_type; substrate; flesh_colour,,,,,,,
3,pleurotus-ostreatus,Pleurotus ostreatus,Oyster Mushroom,NONE_RECORDED,0,,gill_attachment; spore_print_colour; substrate; stipe_presence,,,,,,,
3,russula-emetica,Russula emetica,The Sickener,TOXIC,0,,taste; cap_colour; cap_cuticle,,,,,,,
3,russula-ochroleuca,Russula ochroleuca,Ochre Brittlegill,NONE_RECORDED,0,,stipe_texture; gill_texture; taste,,,,,,,
3,scleroderma-citrinum,Scleroderma citrinum,Common Earthball,TOXIC,0,,interior_structure; skin_thickness; smell,,,,,,,
3,sparassis-crispa,Sparassis crispa,Wood Cauliflower,NONE_RECORDED,0,,growth_form; substrate,,,,,,,
3,suillus-granulatus,Suillus granulatus,Weeping Bolete,NONE_RECORDED,0,,ring; pore_colour; stipe_surface,,,,,,,
3,suillus-luteus,Suillus luteus,Slippery Jack,NONE_RECORDED,0,,cap_surface; ring; pore_colour,,,,,,,
3,tylopilus-felleus,Tylopilus felleus,Bitter Bolete,NONE_RECORDED,0,,pore_colour; stipe_surface; taste,,,,,,,
